null	No.	OK	change	protein name	old
	0		@	hypothetical protein	uncharacterized protein
	0		@	hypothetical protein	Putative uncharacterized protein
	1		@	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase
	2			(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase
	3			(dimethylallyl)adenosine tRNA methylthiotransferase MiaB	(dimethylallyl)adenosine tRNA methylthiotransferase MiaB
	4		@	(dimethylallyl)adenosine tRNA methylthiotransferase MiaB	isopentenyl-adenosine A37 tRNA methylthiolase
	5		@	(E)-4-hydroxy-3-methylbut-2-enyl diphosphate reductase	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
	6			(E)-4-hydroxy-3-methylbut-2-enyl diphosphate reductase/30S ribosomal protein S1	(E)-4-hydroxy-3-methylbut-2-enyl diphosphate reductase/30S ribosomal protein S1
	7		@	(E)-4-hydroxy-3-methylbut-2-enyl diphosphate synthase	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase
	8		@	(E)-4-hydroxy-3-methylbut-2-enyl diphosphate synthase	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
	9		@	(p)ppGpp hydrolase	"guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase"
	10		@	(p)ppGpp synthase	GTP pyrophosphokinase
	11		@	(p)ppGpp synthase/hydrolase	"GTP pyrophosphokinase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase"
	12		@	(p)ppGpp synthase/hydrolase	"GTP pyrophosphokinase/guanosine-3',5'-bis(diphosphate) 3-pyrophosphohydrolase"
	13			(p)ppGpp synthase/hydrolase SpoT	(p)ppGpp synthase/hydrolase SpoT
	14		@	(p)ppGpp synthase/polynucleotide phosphorylase	guanosine pentaphosphate synthetase/polynucleotide phosphorylase
	15		@	(p)ppGpp synthase/polynucleotide phosphorylase	guanosine pentaphosphate synthetase/polyribonucleotide nucleotidyltransferase
	16		@	"(R)-2-(2,4-dichlorophenoxy)propionate dioxygenase"	"R-2,4-dichlorophenoxypropionate dioxygenase"
	17			(R)-2-hydroxyacid CoA-transferase	(R)-2-hydroxyacid CoA-transferase
	18		@	(R)-2-hydroxyacyl-CoA dehydratase activator	activator of (R)-2-hydroxyacyl-CoA dehydratase
	19			(R)-2-hydroxyacyl-CoA dehydratase subunit	(R)-2-hydroxyacyl-CoA dehydratase subunit
	20		@	(R)-2-hydroxyglutaryl-CoA dehydratase activator	activator of (R)-2-hydroxyglutaryl-CoA dehydratase
	21			(R)-2-hydroxyglutaryl-CoA dehydratase subunit alpha	(R)-2-hydroxyglutaryl-CoA dehydratase subunit alpha
	22			(R)-2-hydroxyglutaryl-CoA dehydratase subunit beta	(R)-2-hydroxyglutaryl-CoA dehydratase subunit beta
	23			(R)-3-hydroxydecanoyl-ACP--CoA transacylase	(R)-3-hydroxydecanoyl-ACP--CoA transacylase
	24			(R)-citramalate synthase	(R)-citramalate synthase
	25			(R)-specific enoyl-CoA hydratase	(R)-specific enoyl-CoA hydratase
	26			"(R,R)-butanediol dehydrogenase"	"(R,R)-butanediol dehydrogenase"
	27			"(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase"	"(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase"
	28		@	"(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase"	"(S)-2,3-Di-O-geranylgeranylglyceryl synthase"
	29			[citrate (pro-3S)-lyase] ligase	[citrate (pro-3S)-lyase] ligase
	30		@	[citrate (pro-3S)-lyase] ligase	citrate lyase ligase
	31		@	[Fe]-hydrogenase	iron hydrogenase
	32			[Fe]-hydrogenase subunit	[Fe]-hydrogenase subunit
	33		@	[Fe]-hydrogenase subunit HupA	uptake hydrogenase subunit HupA
	34		@	[Fe]-hydrogenase subunit HupB	uptake hydrogenase subunit HupB
	35		@	[Fe]-hydrogenase subunit HupC	uptake hydrogenase subunit HupC
	36		@	[NiFe]-hydrogenase 1 b-type cytochrome subunit HyaC	NiFe-hydrogenase 1 b-type cytochrome subunit
	37		@	[NiFe]-hydrogenase 1 chaperone HyaE	NiFe-hydrogenase 1 chaperone
	38		@	[NiFe]-hydrogenase 1 large subunit HyaB	NiFe-hydrogenase 1 large subunit
	39		@	[NiFe]-hydrogenase 1 maturation protease HyaD	NiFe-hydrogenase 1 maturation protease
	40		@	[NiFe]-hydrogenase 1 nickel incorporation protein HyaF	NiFe-hydrogenase 1 nickel incorporation protein
	41		@	[NiFe]-hydrogenase 1 small subunit HyaA	NiFe-hydrogenase 1 small subunit
	42		@	[NiFe]-hydrogenase 2 accessory protein HybG	NiFe-hydrogenase 2 accessory protein HybG
	43		@	[NiFe]-hydrogenase 2 b-type cytochrome subunit HybB	NiFe-hydrogenase 2 b-type cytochrome subunit
	44		@	[NiFe]-hydrogenase 2 chaperone HybE	NiFe-hydrogenase 2 chaperone
	45		@	[NiFe]-hydrogenase 2 iron-sulfur subunit HybA	NiFe-hydrogenase 2 iron-sulfur subunit
	46		@	[NiFe]-hydrogenase 2 large subunit HybC	NiFe-hydrogenase 2 large subunit
	47		@	[NiFe]-hydrogenase 2 maturation protease HybD	NiFe-hydrogenase 2 maturation protease
	48		@	[NiFe]-hydrogenase 2 nickel incorporation protein HybF	NiFe-hydrogenase 2 nickel incorporation protein HybF
	49		@	[NiFe]-hydrogenase 2 small subunit HybO	NiFe-hydrogenase 2 small subunit
	50		@	[NiFe]-hydrogenase 3 large subunit HycE	NiFe-hydrogenase 3 large subunit
	51		@	[NiFe]-hydrogenase 3 maturation protease HycI	hydrogenase maturation protease HycI
	52		@	[NiFe]-hydrogenase 3 maturation protease HycI	NiFe-hydrogenase 3 maturation protease
	53		@	[NiFe]-hydrogenase 3 maturation protein HycH	NiFe-hydrogenase 3 maturation protein HycH
	54		@	[NiFe]-hydrogenase 3 nickel incorporation protein	NiFe-hydrogenase 3 nickel incorporation protein
	55		@	[NiFe]-hydrogenase 3 nickel incorporation protein HypA	NiFe-hydrogenases 3 nickel incorporation protein HypA
	56		@	[NiFe]-hydrogenase 3 nickel incorporation protein HypB	NiFe-hydrogenases 3 nickel incorporation protein HypB
	57		@	[NiFe]-hydrogenase 3 small subunit HycG	NiFe-hydrogenase 3 small subunit
	58		@	[NiFe]-hydrogenase 4 component A	NiFe-hydrogenase 4 component A
	59		@	[NiFe]-hydrogenase 4 component B	NiFe-hydrogenase 4 component B
	60		@	[NiFe]-hydrogenase 4 component C	NiFe-hydrogenase 4 component C
	61		@	[NiFe]-hydrogenase 4 component D	NiFe-hydrogenase 4 component D
	62		@	[NiFe]-hydrogenase 4 component E	NiFe-hydrogenase 4 component E
	63		@	[NiFe]-hydrogenase 4 component F	NiFe-hydrogenase 4 component F
	64		@	[NiFe]-hydrogenase 4 component G	NiFe-hydrogenase 4 component G
	65		@	[NiFe]-hydrogenase 4 component H	NiFe-hydrogenase 4 component H
	66		@	[NiFe]-hydrogenase 4 component I	NiFe-hydrogenase 4 component I
	67		@	[NiFe]-hydrogenase 4 component J	NiFe-hydrogenase 4 component J
	68		@	[NiFe]-hydrogenase alpha subunit	NiFe hydrogenase alpha subunit
	69		@	[NiFe]-hydrogenase beta subunit	NiFe hydrogenase beta subunit
	70			[NiFe]-hydrogenase b-type cytochrome subunit	[NiFe]-hydrogenase b-type cytochrome subunit
	71		@	[NiFe]-hydrogenase b-type cytochrome subunit	Ni/Fe-hydrogenase b-type cytochrome subunit
	72		@	[NiFe]-hydrogenase delta subunit	NiFe hydrogenase delta subunit
	73		@	[NiFe]-hydrogenase expression/formation protein HupG	hydrogenase expression/formation protein HupG
	74		@	[NiFe]-hydrogenase gamma subunit	NiFe hydrogenase gamma subunit
	75			[NiFe]-hydrogenase large subunit	[NiFe]-hydrogenase large subunit
	76		@	[NiFe]-hydrogenase large subunit	membrane bound hydrogenase NiFe-hydrogenase large subunit
	77		@	[NiFe]-hydrogenase large subunit	Ni/Fe-hydrogenase large subunit
	78		@	[NiFe]-hydrogenase large subunit	NiFe hydrogenase large subunit
	79		@	[NiFe]-hydrogenase large subunit	NiFe uptake hydrogenase large subunit
	80		@	[NiFe]-hydrogenase maturation protease	hydrogenase maturation protease
	81		@	[NiFe]-hydrogenase maturation protease	hydrogenase-specific maturation endopeptidase
	82		@	[NiFe]-hydrogenase maturation protease HoxW	hoxW protein
	83		@	[NiFe]-hydrogenase maturation protein	hydrogenase maturation protein
	84		@	[NiFe]-hydrogenase maturation protein HoxX	HoxX-like protein
	85		@	[NiFe]-hydrogenase maturation protein HypC	[NiFe] hydrogenase expression/formation protein HypC
	86		@	[NiFe]-hydrogenase maturation protein HypC	hydrogenase expression/formation protein HypC
	87		@	[NiFe]-hydrogenase maturation protein HypC	hydrogenase formation protein HypC
	88		@	[NiFe]-hydrogenase maturation protein HypC	hydrogenase maturation protein HypC
	89		@	[NiFe]-hydrogenase maturation protein HypC	Ni-Fe hydrogenase maturation protein HypC
	90		@	[NiFe]-hydrogenase maturation protein HypC	NiFe-hydrogenase 3 chaperone
	91		@	[NiFe]-hydrogenase maturation protein HypD	[NiFe] hydrogenase expression/formation protein HypD
	92		@	[NiFe]-hydrogenase maturation protein HypD	hydrogenase expression/formation protein HypD
	93		@	[NiFe]-hydrogenase maturation protein HypD	hydrogenase formation protein HypD
	94		@	[NiFe]-hydrogenase maturation protein HypD	hydrogenase maturation protein HypD
	95		@	[NiFe]-hydrogenase maturation protein HypD	Ni-Fe hydrogenase maturation protein HypD
	96		@	[NiFe]-hydrogenase maturation protein HypD	NiFe-hydrogenases maturation protein HypD
	97		@	[NiFe]-hydrogenase maturation protein HypE	hydrogenase expression/formation protein HypE
	98		@	[NiFe]-hydrogenase maturation protein HypE	hydrogenase formation protein HypE
	99		@	[NiFe]-hydrogenase maturation protein HypE	hydrogenase maturation protein HypE
	100		@	[NiFe]-hydrogenase maturation protein HypE	Ni-Fe hydrogenase maturation protein HypE
	101		@	[NiFe]-hydrogenase maturation protein HypE	NiFe-hydrogenases maturation protein HypE
	102		@	[NiFe]-hydrogenase maturation protein HypF	carbamoyltransferase HypF
	103		@	[NiFe]-hydrogenase maturation protein HypF	hydrogenase maturation protein HypF
	104		@	[NiFe]-hydrogenase maturation protein HypF	Ni-Fe hydrogenase maturation protein HypF
	105		@	[NiFe]-hydrogenase maturation protein HypF	NiFe-hydrogenases maturation protein HypF
	106		@	[NiFe]-hydrogenase nickel incorporation protein HupN	hydrogenase nickel incorporation protein HupN
	107		@	[NiFe]-hydrogenase nickel incorporation protein HypA	hydrogenase nickel incorporation protein HypA
	108		@	[NiFe]-hydrogenase nickel incorporation protein HypA	Ni-Fe hydrogenase maturation protein HypA
	109		@	[NiFe]-hydrogenase nickel incorporation protein HypB	hydrogenase accessory protein HypB
	110		@	[NiFe]-hydrogenase nickel incorporation protein HypB	hydrogenase isoenzymes nickel incorporation protein HypB
	111		@	[NiFe]-hydrogenase nickel incorporation protein HypB	hydrogenase nickel incorporation protein HypB
	112		@	[NiFe]-hydrogenase nickel incorporation protein HypB	NiFe-hydrogenases nickel incorporation protein HypB
	113			[NiFe]-hydrogenase small subunit	[NiFe]-hydrogenase small subunit
	114		@	[NiFe]-hydrogenase small subunit	membrane bound hydrogenase NiFe-hydrogenase small subunit
	115		@	[NiFe]-hydrogenase small subunit	Ni/Fe-hydrogenase small subunit
	116		@	[NiFe]-hydrogenase small subunit	NiFe hydrogenase small subunit
	117		@	[NiFe]-hydrogenase small subunit	NiFe uptake hydrogenase small subunit
	118			[protein-PII] uridylyltransferase	[protein-PII] uridylyltransferase
	119		@	[protein-PII] uridylyltransferase	PII uridylyltransferase
	120		@	[protein-PII] uridylyltransferase	PII uridylyl-transferase
	121		@	[protein-PII] uridylyltransferase	protein-PII uridylyltransferase GlnD
	122		@	[protein-PII] uridylyltransferase family protein	protein-P-II uridylyltransferase family protein
	123		@	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
	124			1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
	125		@	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase/phosphoribosylanthranilate isomerase	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase/N-(5'-phosphoribosyl)anthranilate isomerase
	126		@	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase/phosphoribosylanthranilate isomerase	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase/phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
	127			"1,2-diacylglycerol 3-glucosyltransferase"	"1,2-diacylglycerol 3-glucosyltransferase"
	128			"1,2-diacylglycerol-3-glucose glucosyltransferase"	"1,2-diacylglycerol-3-glucose glucosyltransferase"
	129			"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"	"1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase"
	130			"1,2-epoxyphenylacetyl-CoA isomerase PaaG"	"1,2-epoxyphenylacetyl-CoA isomerase PaaG"
	131		@	"1,2-epoxyphenylacetyl-CoA isomerase PaaG"	enoyl-CoA hydratase PaaG
	132			"1,3-propanediol dehydrogenase"	"1,3-propanediol dehydrogenase"
	133			"1,4-alpha-glucan branching enzyme"	"1,4-alpha-glucan branching enzyme"
	134		@	"1,4-alpha-glucan branching enzyme"	"1,4-alpha-glucan-branching enzyme"
	135			"1,4-alpha-glucan branching enzyme GlgB"	"1,4-alpha-glucan branching enzyme GlgB"
	136			"1,4-dihydroxy-2-naphthoate octaprenyltransferase"	"1,4-dihydroxy-2-naphthoate octaprenyltransferase"
	137			"1,4-dihydroxy-2-naphthoyl-CoA synthase"	"1,4-dihydroxy-2-naphthoyl-CoA synthase"
	138		@	"1,4-dihydroxy-2-naphthoyl-CoA synthase"	naphthoate synthase
	139			"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase"	"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase"
	140		@	"1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase"	"2-hydro-1,2-dihydroxybenzoate dehydrogenase"
	141			10 kDa chaperonin	10 kDa chaperonin
	142		@	10 kDa chaperonin	GroES protein
	143		@	16S rRNA adenine dimethyltransferase	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase
	144		@	16S rRNA adenine dimethyltransferase	16S rRNA dimethyladenosine transferase
	145		@	16S rRNA adenine dimethyltransferase	dimethyladenosine transferase
	146		@	16S rRNA adenine dimethyltransferase	"dimethyladenosine transferase"
	147		@	16S rRNA adenine dimethyltransferase	ribosomal RNA small subunit methyltransferase A
	148		@	16S rRNA adenine dimethyltransferase	rRNA adenine dimethyltransferase
	149		@	16S rRNA adenine dimethyltransferase	"S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase"
	150		@	16S rRNA adenine dimethyltransferase	"S-adenosylmethionine-6-N',N'-adenosyl(rRNA) dimethyltransferase"
	151			16S rRNA methyltransferase	16S rRNA methyltransferase
	152		@	16S rRNA methyltransferase	ribosomal RNA small subunit methyltransferase
	153			16S rRNA methyltransferase RsmB	16S rRNA methyltransferase RsmB
	154			16S rRNA methyltransferase RsmC	16S rRNA methyltransferase RsmC
	155			16S rRNA methyltransferase RsmD	16S rRNA methyltransferase RsmD
	156			16S rRNA methyltransferase RsmE	16S rRNA methyltransferase RsmE
	157		@	16S rRNA methyltransferase RsmE	ribosomal RNA small subunit methyltransferase E
	158			16S rRNA methyltransferase RsmF	16S rRNA methyltransferase RsmF
	159			16S rRNA methyltransferase RsmG	16S rRNA methyltransferase RsmG
	160		@	16S rRNA methyltransferase RsmG	ribosomal RNA small subunit methyltransferase G
	161		@	16S rRNA methyltransferase RsmG	"ribosomal RNA small subunit methyltransferase G"
	162			16S rRNA methyltransferase RsmH	16S rRNA methyltransferase RsmH
	163		@	16S rRNA methyltransferase RsmH	ribosomal RNA small subunit methyltransferase H
	164		@	16S rRNA methyltransferase RsmH	S-adenosyl-L-methionine-dependent methyltransferase MraW
	165		@	16S rRNA methyltransferase RsmH	S-adenosyl-methyltransferase MraW
	166			16S rRNA methyltransferase RsmI	16S rRNA methyltransferase RsmI
	167		@	16S rRNA methyltransferase RsmI	ribosomal RNA small subunit methyltransferase I
	168			16S rRNA methyltransferase Sun	16S rRNA methyltransferase Sun
	169			16S rRNA pseudouridine synthase	16S rRNA pseudouridine synthase
	170		@	16S rRNA pseudouridine synthase RsuA	pseudouridine synthase RsuA
	171		@	16S rRNA pseudouridine synthase RsuA	ribosomal small subunit pseudouridine synthase A
	172		@	1-acyl-sn-glycerol-3-phosphate acyltransferase	1-acylglycerol-3-phosphate O-acyltransferase
	173			1-acyl-sn-glycerol-3-phosphate acyltransferase	1-acyl-sn-glycerol-3-phosphate acyltransferase
	174			1-acyl-sn-glycerol-3-phosphate acyltransferase HdtS	1-acyl-sn-glycerol-3-phosphate acyltransferase HdtS
	175			1-aminocyclopropane-1-carboxylate deaminase	1-aminocyclopropane-1-carboxylate deaminase
	176		@	1-deoxy-D-xylulose-5-phosphate reductoisomerase	1-deoxy-D-xylulose 5-phosphate reductoisomerase
	177			1-deoxy-D-xylulose-5-phosphate reductoisomerase	1-deoxy-D-xylulose-5-phosphate reductoisomerase
	178		@	1-deoxy-D-xylulose-5-phosphate synthase	1-deoxy-D-xylulose 5-phosphate synthase
	179			1-deoxy-D-xylulose-5-phosphate synthase	1-deoxy-D-xylulose-5-phosphate synthase
	180			1-phosphofructokinase	1-phosphofructokinase
	181		@	1-phosphofructokinase	fructose 1-phosphate kinase
	182		@	1-phosphofructokinase	fructose-1-phosphate kinase
	183		@	2'-(5''-phosphoribosyl)-3'-dephospho-CoA synthase	triphosphoribosyl-dephospho-CoA synthase
	184		@	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA synthase	2-(5''-triphosphoribosyl)-3'-dephospho-CoA synthase
	185		@	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA synthase	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
	186		@	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA synthase	2-(5'-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
	187			"2,2',3-trihydroxy-3'-methoxy-5,5'-dicarboxybiphenyl dioxygenase"	"2,2',3-trihydroxy-3'-methoxy-5,5'-dicarboxybiphenyl dioxygenase"
	188			"2,2',3-trihydroxy-3'-methoxy-5,5'-dicarboxybiphenyl meta-cleavage compound hydrolase"	"2,2',3-trihydroxy-3'-methoxy-5,5'-dicarboxybiphenyl meta-cleavage compound hydrolase"
	189			"2,2'-dihydroxy-3,3'-dimethoxy-5,5'-dicarboxybiphenyl O-demethylase oxygenase subunit"	"2,2'-dihydroxy-3,3'-dimethoxy-5,5'-dicarboxybiphenyl O-demethylase oxygenase subunit"
	190			"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"	"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"
	191			"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"
	192		@	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase"	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (aPGAM)"
	193			"2,3-butanediol dehydrogenase"	"2,3-butanediol dehydrogenase"
	194			"2',3'-cyclic-nucleotide 2'-phosphodiesterase"	"2',3'-cyclic-nucleotide 2'-phosphodiesterase"
	195		@	"2',3'-cyclic-nucleotide 2'-phosphodiesterase"	"2',3'-cyclic-nucleotide 2'-phosphodiesterase precursor"
	196			"2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase"	"2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase"
	197			"2,3-dehydroadipyl-CoA hydratase PaaF"	"2,3-dehydroadipyl-CoA hydratase PaaF"
	198		@	"2,3-dehydroadipyl-CoA hydratase PaaF"	enoyl-CoA hydratase PaaF
	199			"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase"	"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase"
	200			"2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase"	"2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase"
	201			"2,3-dihydroxybenzoate-AMP ligase"	"2,3-dihydroxybenzoate-AMP ligase"
	202			"2,3-dihydroxy-p-cumate dioxygenase"	"2,3-dihydroxy-p-cumate dioxygenase"
	203			"2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase"	"2,3-dihydroxyphenylpropionate/2,3-dihydroxicinnamic acid 1,2-dioxygenase"
	204			"2,3-diketo-5-methylthiopentyl-1-phosphate enolase"	"2,3-diketo-5-methylthiopentyl-1-phosphate enolase"
	205			"2,3-diketo-L-gulonate reductase"	"2,3-diketo-L-gulonate reductase"
	206			"2,3-diketo-L-gulonate transporter large subunit YiaN"	"2,3-diketo-L-gulonate transporter large subunit YiaN"
	207			"2,3-diketo-L-gulonate transporter periplasmic protein YiaO"	"2,3-diketo-L-gulonate transporter periplasmic protein YiaO"
	208			"2,3-diketo-L-gulonate transporter small subunit YiaM"	"2,3-diketo-L-gulonate transporter small subunit YiaM"
	209			"2,4-dienoyl-CoA reductase"	"2,4-dienoyl-CoA reductase"
	210		@	"2,4-dienoyl-CoA reductase"	"2,4-dienoyl-CoA reductase [NADPH]"
	211			"2,4'-dihydroxyacetophenone dioxygenase"	"2,4'-dihydroxyacetophenone dioxygenase"
	212			"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase"	"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase"
	213		@	"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase"	HpcH/HpaI aldolase
	214			"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase"	"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase"
	215			"2,5-diketo-D-gluconate reductase"	"2,5-diketo-D-gluconate reductase"
	216		@	"2,5-diketo-D-gluconate reductase"	"2,5-diketo-D-gluconic acid reductase"
	217			"2,5-diketo-D-gluconate reductase A"	"2,5-diketo-D-gluconate reductase A"
	218		@	"2,5-diketo-D-gluconate reductase A"	"2,5-diketo-D-gluconic acid reductase A"
	219			"2,5-diketo-D-gluconate reductase B"	"2,5-diketo-D-gluconate reductase B"
	220		@	"2,5-diketo-D-gluconate reductase B"	"2,5-diketo-D-gluconic acid reductase B"
	221			"2,6-dihydroxypseudooxynicotine hydrolase"	"2,6-dihydroxypseudooxynicotine hydrolase"
	222			"2,6-dihydroxypyridine 3-hydroxylase"	"2,6-dihydroxypyridine 3-hydroxylase"
	223		@	20S proteasome alpha subunit	20S proteasome alpha-subunit
	224			20S proteasome alpha-type subunit	20S proteasome alpha-type subunit
	225		@	20S proteasome beta subunit	20S proteasome beta-subunit
	226			20S proteasome beta-type subunit	20S proteasome beta-type subunit
	227			23S rRNA (guanosine-2'-O)-methyltransferase	23S rRNA (guanosine-2'-O)-methyltransferase
	228		@	23S rRNA (guanosine-2'-O)-methyltransferase	23S rRNA (guanosine-2'-O-)-methyltransferase
	229		@	23S rRNA (guanosine-2'-O)-methyltransferase RlmB	23S rRNA (guanosine-2'-O-)-methyltransferase RlmB
	230		@	23S rRNA (uracil-C(5))-methyltransferase	23S rRNA (uracil-5-)-methyltransferase
	231			23S rRNA (uracil-C(5))-methyltransferase	23S rRNA (uracil-C(5))-methyltransferase
	232		@	23S rRNA (uracil-C(5))-methyltransferase RumA	23S rRNA (uracil-5-)-methyltransferase RumA
	233		@	23S rRNA (uracil-C(5))-methyltransferase RumB	23S rRNA (uracil-5-)-methyltransferase RumB
	234			23S rRNA methyltransferase RlmA	23S rRNA methyltransferase RlmA
	235		@	23S rRNA methyltransferase RlmA	23S rRNA methyltransferase RrmA
	236		@	23S rRNA methyltransferase RlmA	ribosomal RNA large subunit methyltransferase A
	237			23S rRNA methyltransferase RlmE	23S rRNA methyltransferase RlmE
	238		@	23S rRNA methyltransferase RlmE	ribosomal RNA large subunit methyltransferase E
	239			23S rRNA methyltransferase RlmF	23S rRNA methyltransferase RlmF
	240			23S rRNA methyltransferase RlmG	23S rRNA methyltransferase RlmG
	241			23S rRNA methyltransferase RlmH	23S rRNA methyltransferase RlmH
	242		@	23S rRNA methyltransferase RlmH	ribosomal RNA large subunit methyltransferase H
	243			23S rRNA methyltransferase RlmI	23S rRNA methyltransferase RlmI
	244			23S rRNA methyltransferase RlmL	23S rRNA methyltransferase RlmL
	245			23S rRNA methyltransferase RlmM	23S rRNA methyltransferase RlmM
	246			23S rRNA methyltransferase RlmN	23S rRNA methyltransferase RlmN
	247		@	23S rRNA methyltransferase RlmN	ribosomal RNA large subunit methyltransferase N
	248			23S rRNA pseudouridine synthase RluB	23S rRNA pseudouridine synthase RluB
	249		@	23S rRNA pseudouridine synthase RluB	pseudouridine synthase RluB
	250		@	23S rRNA pseudouridine synthase RluB	ribosomal large subunit pseudouridine synthase B
	251			23S rRNA pseudouridine synthase RluC	23S rRNA pseudouridine synthase RluC
	252			23S rRNA pseudouridine synthase RluD	23S rRNA pseudouridine synthase RluD
	253		@	23S rRNA pseudouridine synthase RluD	pseudouridine synthase RluD
	254		@	23S rRNA pseudouridine synthase RluD	ribosomal large subunit pseudouridine synthase D
	255			23S rRNA pseudouridine synthase RluE	23S rRNA pseudouridine synthase RluE
	256		@	23S rRNA pseudouridine synthase RluE	ribosomal large subunit pseudouridine synthase E
	257			23S rRNA pseudouridine synthase RluF	23S rRNA pseudouridine synthase RluF
	258			23S rRNA/tRNA pseudouridine synthase RluA	23S rRNA/tRNA pseudouridine synthase RluA
	259		@	23S rRNA/tRNA pseudouridine synthase RluA	ribosomal large subunit pseudouridine synthase A
	260			2'-5' RNA ligase	2'-5' RNA ligase
	261		@	2'-5' RNA ligase family protein	"2',5' RNA ligase family protein"
	262			2'-5' RNA ligase family protein	2'-5' RNA ligase family protein
	263			2-acylglycerophosphoethanolamine acyltransferase/acyl-[acyl-carrier-protein] synthetase	2-acylglycerophosphoethanolamine acyltransferase/acyl-[acyl-carrier-protein] synthetase
	264		@	2-acylglycerophosphoethanolamine acyltransferase/acyl-[acyl-carrier-protein] synthetase	"AAS bifunctional protein"
	265			2-amino-3-carboxymuconate-6-semialdehyde decarboxylase	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase
	266		@	2-amino-3-carboxymuconate-6-semialdehyde decarboxylase	aminocarboxymuconate-semialdehyde decarboxylase
	267		@	2-amino-3-ketobutyrate--CoA ligase	2-amino-3-ketobutyrate coenzyme A ligase
	268			2-amino-3-ketobutyrate--CoA ligase	2-amino-3-ketobutyrate--CoA ligase
	269		@	2-amino-3-ketobutyrate--CoA ligase	pyridoxal-phosphate-dependent glycine acetyltransferase
	270			2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
	271		@	2-aminobenzoate--CoA ligase	2-aminobenzoate-CoA ligase
	272		@	2-aminoethylphosphonate--pyruvate aminotransferase	2-aminoethylphosphonate-pyruvate aminotransferase
