null	No.	OK	change	protein name	old
	6071			mannosyl-3-phosphoglycerate synthase	mannosyl-3-phosphoglycerate synthase
	6072			mannosylglycerate hydrolase	mannosylglycerate hydrolase
	6073			mannosyltransferase	mannosyltransferase
	6074			mannosyltransferase MgtA	mannosyltransferase MgtA
	6075			mannosyltransferase MptA	mannosyltransferase MptA
	6076			mannosyltransferase MptB	mannosyltransferase MptB
	6077			mannosyltransferase PimB'	mannosyltransferase PimB'
	6078			mannosyltransferase PimC	mannosyltransferase PimC
	6079			mannosyltransferase PimE	mannosyltransferase PimE
	6080			ManO protein	ManO protein
	6081			MaoC-like dehydratase	MaoC-like dehydratase
	6082		@	MarC family protein	MarC family integral membrane protein
	6083			MarC family protein	MarC family protein
	6084			MarC protein	MarC protein
	6085		@	MarR family transcriptional regulator	MarR family transcriptional protein
	6086			MarR family transcriptional regulator	MarR family transcriptional regulator
	6087		@	MarR family transcriptional regulator	"transcriptional regulator, MarR family"
	6088			MarR family transcriptional regulator HcaR	MarR family transcriptional regulator HcaR
	6089			MarR family transcriptional regulator OhrR	MarR family transcriptional regulator OhrR
	6090		@	MarR family transcriptional regulator OhrR	transcriptional regulator OhrR
	6091			MarR family transcriptional regulator SgrR	MarR family transcriptional regulator SgrR
	6092			MarR family transcriptional regulator SlyA	MarR family transcriptional regulator SlyA
	6093			MatC protein	MatC protein
	6094		@	MATE family transporter	MatE efflux family protein
	6095		@	MATE family transporter	MATE efflux family protein
	6096		@	MATE family transporter	MatE family protein
	6097		@	MATE family transporter	MatE family transporter
	6098			mating pair stabilization protein TraN	mating pair stabilization protein TraN
	6099			MazG family protein	MazG family protein
	6100			MbhA protein	MbhA protein
	6101			McbA protein	McbA protein
	6102			Mce family protein	Mce family protein
	6103		@	Mce family protein	Mce-family protein
	6104			medium-chain acyl-CoA synthetase	medium-chain acyl-CoA synthetase
	6105		@	medium-chain fatty acid--CoA ligase	medium-chain fatty-acid--CoA ligase
	6106		@	medium-chain fatty acid--CoA ligase	medium-chain-fatty-acid--CoA ligase
	6107			melibiose operon transcriptional regulator	melibiose operon transcriptional regulator
	6108			melibiose transporter	melibiose transporter
	6109		@	membrane bound hydrogenase iron-sulfur subunit	membrane bound hydrogenase iron-sulfur binding subunit
	6110			membrane bound hydrogenase MbhA subunit	membrane bound hydrogenase MbhA subunit
	6111			membrane bound hydrogenase MbhB subunit	membrane bound hydrogenase MbhB subunit
	6112			membrane bound hydrogenase MbhC subunit	membrane bound hydrogenase MbhC subunit
	6113			membrane bound hydrogenase MbhD subunit	membrane bound hydrogenase MbhD subunit
	6114			membrane bound hydrogenase MbhE subunit	membrane bound hydrogenase MbhE subunit
	6115			membrane bound hydrogenase MbhF subunit	membrane bound hydrogenase MbhF subunit
	6116			membrane bound hydrogenase MbhG subunit	membrane bound hydrogenase MbhG subunit
	6117			membrane bound hydrogenase MbhH subunit	membrane bound hydrogenase MbhH subunit
	6118			membrane bound hydrogenase MbhI subunit	membrane bound hydrogenase MbhI subunit
	6119		@	membrane bound hydrogenase MbhJ subunit	membrane-bound hydrogenase subunit mbhJ
	6120			membrane bound hydrogenase MbhK subunit	membrane bound hydrogenase MbhK subunit
	6121		@	membrane bound hydrogenase MbhL subunit	Membrane bound hydrogenase subunit mbhL
	6122			membrane bound hydrogenase MbhM subunit	membrane bound hydrogenase MbhM subunit
	6123		@	membrane bound hydrogenase MbhN subunit	Membrane bound hydrogenase subunit mbhN
	6124		@	membrane bound oxidoreductase MbxA subunit	membrane bound hydrogenase MbxA subunit
	6125		@	membrane bound oxidoreductase MbxB subunit	membrane bound hydrogenase MbxB subunit
	6126		@	membrane bound oxidoreductase MbxC subunit	membrane bound hydrogenase MbxC subunit
	6127		@	membrane bound oxidoreductase MbxD subunit	membrane bound hydrogenase MbxD subunit
	6128		@	membrane bound oxidoreductase MbxF subunit	membrane bound hydrogenase MbxF subunit
	6129		@	membrane bound oxidoreductase MbxG subunit	membrane bound hydrogenase MbxG subunit
	6130		@	membrane bound oxidoreductase MbxH subunit	membrane bound hydrogenase MbxH subunit
	6131		@	membrane bound oxidoreductase MbxH' subunit	membrane bound hydrogenase MbxH' subunit
	6132		@	membrane bound oxidoreductase MbxJ subunit	"Membrane bound oxidoreductase, MbxJ subunit"
	6133		@	membrane bound oxidoreductase MbxK subunit	membrane bound hydrogenase MbxK subunit
	6134		@	membrane bound oxidoreductase MbxL subunit	"Membrane-bound oxidoreductase, subunit MbxL"
